Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
St. Kitts and Nevis,KNA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10181.7593807475,10299.1540966332,10897.7137970391,11787.8849946739,12531.006106375,13336.0179558561,14237.9999737845,15334.9864419369,15301.1390408313,15877.402415626,17734.6200399462,18898.4278927712,19424.9533197676,18861.590231331,19903.8892248074,22257.6282131827,23359.9582556402,23754.9084061971,25570.3124825801,24685.2582149067,24033.3203844975,24766.1960531915,24461.132483834,25999.0328016508,27910.1501604086,28261.4120646373,29137.8218520776,28869.6891919088,30207.7902129967,..,..
St. Kitts and Nevis,KNA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,409907450.909512,415869543.267951,443504258.398099,484894649.255911,521502881.129009,561099619.474688,604759048.886498,657165508.982765,661330530.48377,692477028.955112,781635643.640589,842850985.589702,877328016.687303,862842306.722468,922027764.449978,1042925685.1851,1105837063.86375,1134962013.83129,1232105506.97312,1199678863.98625,1178017231.96653,1224614096.24216,1220292516.22103,1308557319.93989,1417109964.24459,1447069081.94562,1504240053.11351,1502522973.99289,1584126726.55976,..,..
St. Lucia,LCA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6250.98000539962,6395.13913288559,6973.16478385098,7097.44972422782,7279.90921680687,7470.47976520572,7726.277043531,7697.43081688674,8159.43660421764,8390.06188594575,8486.85469910429,8300.63141605943,8402.60691327445,8860.38463554213,9682.61400265061,9845.84188218068,10644.3046253462,11005.9896505643,11614.1666218039,11384.5559564734,11428.5117084714,12049.2093550579,12168.5783830481,12078.3636233333,12416.8734477927,12520.7632228418,12990.8077463866,13505.4547723963,13881.3721333448,..,..
St. Lucia,LCA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,862760260.345255,895287502.908318,988515839.758714,1017838167.50179,1056191068.90199,1097189363.11576,1149932717.49689,1161642376.86883,1248565148.61399,1300417642.01216,1330136250.13592,1312985576.76086,1339308321.12064,1422357545.54358,1566801867.45291,1608977942.86032,1760365743.24438,1845033099.03095,1974536081.5395,1960659611.37981,1989532460.76924,2115166407.02429,2149530697.05192,2144066561.86876,2213878868.24766,2242794233.05476,2338657173.73551,2443879568.33897,2524868895.96195,..,..
St. Martin (French part),MAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Martin (French part),MAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3619.21224648863,3773.84782980104,4099.37871074578,4371.53769607363,4408.36042379253,4851.19991327377,5006.34527188418,5275.1716666458,5557.54194441967,5792.92826801885,6018.05483642108,6248.68394862447,6736.24239409436,7373.34342447742,7873.03874310641,8312.44894124814,9223.36604804067,9795.37615733604,10155.8313680162,10028.2589339462,9807.79258625294,9965.06450657828,10285.2807009371,10639.2469047555,10948.0492493923,11182.8355878213,11486.9006550909,11782.7219972992,12287.9755049588,..,..
St. Vincent and the Grenadines,VCT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,389007409.101584,406730223.704637,442527931.825007,472270331.919923,476336568.872055,524099382.630532,540565137.076966,569164646.972749,599108579.150385,624234364.305175,648650022.48881,674208003.320785,728167594.074418,798724799.799941,854319180.091963,902848329.304725,1001685222.91536,1062974629.84179,1100821029.47338,1085930075.18024,1061742586.42481,1079375927.09453,1115284412.80612,1155656277.28835,1191815589.3381,1220584138.73952,1257344658.80559,1294061008.79738,1354257780.40151,..,..
Sub-Saharan Africa,SSF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1719.34401765353,1736.91526875354,1725.88755845841,1707.86182407656,1715.41926317984,1762.06916953008,1837.63880943616,1887.06029981071,1905.57958852446,1926.06136473557,1985.1403695463,2065.07006407062,2174.26690113225,2252.84613583814,2403.47527670043,2564.05012963497,2731.30696249334,2912.38108089691,3049.39668950571,3095.15775540437,3225.32304725158,3352.70318642079,3463.61889626936,3611.01481518106,3757.66220710601,3814.06282158002,3813.19364949313,3891.44105772992,3987.50398668531,..,..
Sub-Saharan Africa,SSF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,875922992299.365,909669271846.855,928952884231.268,944482364196.798,974481665396.451,1028014520303.1,1100870200173.12,1160644685739.15,1203184202254.55,1248373430066.02,1320768640015.69,1410352135232.32,1524304962411.75,1621409880345.73,1776127983288.11,1945920926701.23,2129236283194.79,2332550861950.48,2509487152219.56,2617436294010.24,2802886703022.05,2994118746485.29,3178656485298.88,3405335275094.2,3641023571815.39,3796741171366.43,3899091712579.37,4086611116146.64,4299751547368.76,..,..
